Model,Accuracy,F1
Gaussian Naive-Bayes,0.11904761904761904,0.11854792966534317
Logistic Regression,0.8809523809523809,0.4683544303797469
Random Forest,0.9047619047619048,0.47500000000000003
Decision Tree,0.9047619047619048,0.47500000000000003
SVM,0.9047619047619048,0.47500000000000003
kNN,0.8809523809523809,0.4683544303797469
